customer_state,avg_delivery_days,total_deliveries,delayed_deliveries,delayed_percentage
RR,28.98,41,0,0.00
AP,26.73,67,0,0.00
AM,25.99,145,0,0.00
AL,24.04,397,0,0.00
PA,23.32,946,2,0.21
MA,21.13,716,2,0.28
SE,21.03,335,0,0.00
CE,20.82,1278,0,0.00
AC,20.64,80,0,0.00
PB,19.95,517,0,0.00
PI,18.99,476,2,0.42
RO,18.91,243,0,0.00
BA,18.87,3256,3,0.09
RN,18.82,474,0,0.00
PE,17.97,1593,1,0.06
MT,17.59,886,0,0.00
TO,17.23,274,0,0.00
ES,15.33,1995,3,0.15
MS,15.19,701,0,0.00
GO,15.15,1957,4,0.20
RJ,14.85,12351,43,0.35
RS,14.82,5342,14,0.26
SC,14.48,3547,7,0.20
DF,12.51,2080,6,0.29
MG,11.54,11352,22,0.19
PR,11.53,4923,18,0.37
SP,8.30,40489,338,0.83
