customer_state,total_revenue_including_freight,total_revenue_percentage
SP,5767792.05,37.41
RJ,2055589.53,13.33
MG,1818644.05,11.80
RS,860724.74,5.58
PR,781708.80,5.07
SC,595281.29,3.86
BA,591137.81,3.83
DF,346123.35,2.25
GO,334212.35,2.17
ES,317657.93,2.06
PE,308972.05,2.00
CE,266329.96,1.73
PA,212023.57,1.38
MT,181224.42,1.18
MA,147696.74,0.96
PB,137838.55,0.89
MS,134367.55,0.87
PI,105178.19,0.68
RN,100714.78,0.65
AL,94172.49,0.61
SE,70289.13,0.46
TO,60007.37,0.39
RO,56966.00,0.37
AM,27585.47,0.18
AC,19575.33,0.13
AP,16141.81,0.10
RR,9039.52,0.06
